GR, 1994, heart, -, pmp, living
GR, 1994, lung, -, pmp, living
GR, 1994, heart/lung, -, pmp, living
GR, 1995, kidney, 42, num, deceased
GR, 1995, liver, 7, num, deceased
GR, 1995, pancreas, 0, num, deceased
GR, 1995, heart, 10, num, deceased
GR, 1995, lung, 0, num, deceased
GR, 1995, heart/lung, -, num, deceased
GR, 1995, kidney, 4.20, pmp, deceased
GR, 1995, liver, 0.7, pmp, deceased
GR, 1995, pancreas, 0, pmp, deceased
GR, 1995, heart, 1, pmp, deceased
GR, 1995, lung, 0, pmp, deceased
GR, 1995, heart/lung, -, pmp, deceased
GR, 1995, kidney, 85, num, living
GR, 1995, liver, 0, num, living
GR, 1995, pancreas, -, num, living
GR, 1995, heart, -, num, living
GR, 1995, lung, -, num, living
GR, 1995, heart/lung, -, num, living
GR, 1995, kidney, 8.5, pmp, living
GR, 1995, liver, 0, pmp, living
GR, 1995, pancreas, -, pmp, living
GR, 1995, heart, -, pmp, living
GR, 1995, lung, -, pmp, living
GR, 1995, heart/lung, -, pmp, living
GR, 1996, kidney, 46, num, deceased
GR, 1996, liver, 12, num, deceased
GR, 1996, pancreas, 0, num, deceased
GR, 1996, heart, 7, num, deceased
GR, 1996, lung, 1, num, deceased
GR, 1996, heart/lung, -, num, deceased
GR, 1996, kidney, 4.60, pmp, deceased
GR, 1996, liver, 1.20, pmp, deceased
GR, 1996, pancreas, 0, pmp, deceased
GR, 1996, heart, 0.7, pmp, deceased
GR, 1996, lung, 0.1, pmp, deceased
GR, 1996, heart/lung, -, pmp, deceased
GR, 1996, kidney, 60, num, living
