PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2002, actual, 9, num, deceased
PH, 2002, actual, 0.1, pmp, deceased
PH, 2002, utilized, -, num, deceased
PH, 2002, utilized, -, pmp, deceased
PH, 2002, living, 156, num, living
PH, 2002, living, 1.9, pmp, living
PH, 2003, actual, 5, num, deceased
PH, 2003, actual, 6.20, pmp, deceased
PH, 2003, utilized, -, num, deceased
PH, 2003, utilized, -, pmp, deceased
PH, 2003, living, 189, num, living
PH, 2003, living, 2.30, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
PH, 2016, living, 4.69, pmp, living
PH, 2016, actual, 42, num, deceased
PH, 2016, actual, 0.45, pmp, deceased
PH, 2016, utilized, -, num, deceased
PH, 2016, utilized, -, pmp, deceased
PH, 2016, living, 438, num, living
